Sequence accepted

Parse Tree (Father/Sibling Relations):
========================================

Index | Symbol | Type | Production | Father | Sibling | Lexeme | ST Location
  425 | relation_tail | NTERM |         63 |    389 |      -1 | -      | -
  426 | equality_tail | NTERM |         57 |    388 |      -1 | -      | -
  427 | logic_and_tail | NTERM |         53 |    387 |      -1 | -      | -
  428 | logic_or_tail | NTERM |         50 |    386 |      -1 | -      | -
  429 | pipe_expr_tail | NTERM |         31 |    385 |      -1 | -      | -
  430 | RPAREN | TERM |         -1 |    381 |      -1 | )      | -
  431 | pipe_expr_tail | NTERM |         31 |    378 |      -1 | -      | -
  432 | block_tail | NTERM |         22 |    351 |      -1 | -      | -
  433 | NL     | TERM |         -1 |    432 |     434 | NL     | -
  434 | opt_stmt | NTERM |          4 |    432 |     435 | -      | -
  435 | block_tail | NTERM |         23 |    432 |      -1 | -      | -
  436 | END    | TERM |         -1 |    219 |      -1 | end    | -
  437 | program_tail | NTERM |          1 |    215 |      -1 | -      | -
  438 | NL     | TERM |         -1 |    437 |     439 | NL     | -
  439 | opt_stmt | NTERM |          4 |    437 |     440 | -      | -
  440 | program_tail | NTERM |          1 |    437 |      -1 | -      | -
  441 | NL     | TERM |         -1 |    440 |     442 | NL     | -
  442 | opt_stmt | NTERM |          3 |    440 |     471 | -      | -
  443 | stmt   | NTERM |          5 |    442 |      -1 | -      | -
  444 | bind_stmt | NTERM |         12 |    443 |      -1 | -      | -
  445 | BIND   | TERM |         -1 |    444 |     446 | bind   | -
  446 | id     | NTERM |        115 |    444 |     448 | -      | -
  447 | TOTAL  | TERM |         -1 |    446 |      -1 | total  | -
  448 | ASSIGN | TERM |         -1 |    444 |     449 | :=     | -
  449 | expr   | NTERM |         28 |    444 |      -1 | -      | -
  450 | pipe_expr | NTERM |         29 |    449 |      -1 | -      | -
  451 | logic_or | NTERM |         48 |    450 |     470 | -      | -
  452 | logic_and | NTERM |         51 |    451 |     469 | -      | -
  453 | equality | NTERM |         54 |    452 |     468 | -      | -
  454 | relation | NTERM |         58 |    453 |     467 | -      | -
  455 | add    | NTERM |         64 |    454 |     466 | -      | -
  456 | mul    | NTERM |         68 |    455 |     465 | -      | -
  457 | unary  | NTERM |         75 |    456 |     464 | -      | -
  458 | power  | NTERM |         76 |    457 |      -1 | -      | -
  459 | primary | NTERM |         80 |    458 |     463 | -      | -
  460 | number | NTERM |        126 |    459 |     462 | -      | -
  461 | NUMBER | TERM |         -1 |    460 |      -1 | 0      | 9,0
  462 | primary_tail | NTERM |        103 |    459 |      -1 | -      | -
  463 | power_tail | NTERM |         78 |    458 |      -1 | -      | -
  464 | mul_tail | NTERM |         72 |    456 |      -1 | -      | -
  465 | add_tail | NTERM |         67 |    455 |      -1 | -      | -
  466 | relation_tail | NTERM |         63 |    454 |      -1 | -      | -
  467 | equality_tail | NTERM |         57 |    453 |      -1 | -      | -
  468 | logic_and_tail | NTERM |         53 |    452 |      -1 | -      | -
  469 | logic_or_tail | NTERM |         50 |    451 |      -1 | -      | -
  470 | pipe_expr_tail | NTERM |         31 |    450 |      -1 | -      | -
  471 | program_tail | NTERM |          1 |    440 |      -1 | -      | -
  472 | NL     | TERM |         -1 |    471 |     473 | NL     | -
  473 | opt_stmt | NTERM |          3 |    471 |     547 | -      | -
  474 | stmt   | NTERM |          8 |    473 |      -1 | -      | -
  475 | each_stmt | NTERM |         17 |    474 |      -1 | -      | -
  476 | EACH   | TERM |         -1 |    475 |     477 | each   | -
  477 | id     | NTERM |        114 |    475 |     479 | -      | -
  478 | IDENTIFIER | TERM |         -1 |    477 |      -1 | v      | 15,0
  479 | IN     | TERM |         -1 |    475 |     480 | in     | -
  480 | expr   | NTERM |         28 |    475 |     501 | -      | -
  481 | pipe_expr | NTERM |         29 |    480 |      -1 | -      | -
  482 | logic_or | NTERM |         48 |    481 |     500 | -      | -
  483 | logic_and | NTERM |         51 |    482 |     499 | -      | -
  484 | equality | NTERM |         54 |    483 |     498 | -      | -
  485 | relation | NTERM |         58 |    484 |     497 | -      | -
  486 | add    | NTERM |         64 |    485 |     496 | -      | -
  487 | mul    | NTERM |         68 |    486 |     495 | -      | -
  488 | unary  | NTERM |         75 |    487 |     494 | -      | -
  489 | power  | NTERM |         76 |    488 |      -1 | -      | -
  490 | primary | NTERM |         86 |    489 |     493 | -      | -
  491 | IDENTIFIER | TERM |         -1 |    490 |     492 | squares | 13,0
  492 | primary_after_ident | NTERM |        100 |    490 |      -1 | -      | -
  493 | power_tail | NTERM |         78 |    489 |      -1 | -      | -
  494 | mul_tail | NTERM |         72 |    487 |      -1 | -      | -
  495 | add_tail | NTERM |         67 |    486 |      -1 | -      | -
  496 | relation_tail | NTERM |         63 |    485 |      -1 | -      | -
  497 | equality_tail | NTERM |         57 |    484 |      -1 | -      | -
  498 | logic_and_tail | NTERM |         53 |    483 |      -1 | -      | -
  499 | logic_or_tail | NTERM |         50 |    482 |      -1 | -      | -
  500 | pipe_expr_tail | NTERM |         31 |    481 |      -1 | -      | -
  501 | DO     | TERM |         -1 |    475 |     502 | do     | -
  502 | block  | NTERM |         20 |    475 |     546 | -      | -
  503 | NL     | TERM |         -1 |    502 |     504 | NL     | -
  504 | block  | NTERM |         21 |    502 |      -1 | -      | -
  505 | stmt   | NTERM |          6 |    504 |     542 | -      | -
  506 | set_stmt | NTERM |         13 |    505 |      -1 | -      | -
  507 | SET    | TERM |         -1 |    506 |     508 | set    | -
  508 | id     | NTERM |        115 |    506 |     510 | -      | -
  509 | TOTAL  | TERM |         -1 |    508 |      -1 | total  | -
  510 | UPDATE | TERM |         -1 |    506 |     511 | =      | -
  511 | expr   | NTERM |         28 |    506 |      -1 | -      | -
  512 | pipe_expr | NTERM |         29 |    511 |      -1 | -      | -
  513 | logic_or | NTERM |         48 |    512 |     541 | -      | -
  514 | logic_and | NTERM |         51 |    513 |     540 | -      | -
  515 | equality | NTERM |         54 |    514 |     539 | -      | -
  516 | relation | NTERM |         58 |    515 |     538 | -      | -
  517 | add    | NTERM |         64 |    516 |     537 | -      | -
  518 | mul    | NTERM |         68 |    517 |     526 | -      | -
  519 | unary  | NTERM |         75 |    518 |     525 | -      | -
  520 | power  | NTERM |         76 |    519 |      -1 | -      | -
  521 | primary | NTERM |         87 |    520 |     524 | -      | -
  522 | TOTAL  | TERM |         -1 |    521 |     523 | total  | -
  523 | primary_after_ident | NTERM |        100 |    521 |      -1 | -      | -
  524 | power_tail | NTERM |         78 |    520 |      -1 | -      | -
  525 | mul_tail | NTERM |         72 |    518 |      -1 | -      | -
  526 | add_tail | NTERM |         65 |    517 |      -1 | -      | -
  527 | PLUS   | TERM |         -1 |    526 |     528 | +      | -
  528 | mul    | NTERM |         68 |    526 |     536 | -      | -
  529 | unary  | NTERM |         75 |    528 |     535 | -      | -
  530 | power  | NTERM |         76 |    529 |      -1 | -      | -
  531 | primary | NTERM |         86 |    530 |     534 | -      | -
  532 | IDENTIFIER | TERM |         -1 |    531 |     533 | v      | 15,0
  533 | primary_after_ident | NTERM |        100 |    531 |      -1 | -      | -
  534 | power_tail | NTERM |         78 |    530 |      -1 | -      | -
  535 | mul_tail | NTERM |         72 |    528 |      -1 | -      | -
  536 | add_tail | NTERM |         67 |    526 |      -1 | -      | -
  537 | relation_tail | NTERM |         63 |    516 |      -1 | -      | -
  538 | equality_tail | NTERM |         57 |    515 |      -1 | -      | -
  539 | logic_and_tail | NTERM |         53 |    514 |      -1 | -      | -
  540 | logic_or_tail | NTERM |         50 |    513 |      -1 | -      | -
  541 | pipe_expr_tail | NTERM |         31 |    512 |      -1 | -      | -
  542 | block_tail | NTERM |         22 |    504 |      -1 | -      | -
  543 | NL     | TERM |         -1 |    542 |     544 | NL     | -
  544 | opt_stmt | NTERM |          4 |    542 |     545 | -      | -
  545 | block_tail | NTERM |         23 |    542 |      -1 | -      | -
  546 | END    | TERM |         -1 |    475 |      -1 | end    | -
  547 | program_tail | NTERM |          1 |    471 |      -1 | -      | -
  548 | NL     | TERM |         -1 |    547 |     549 | NL     | -
  549 | opt_stmt | NTERM |          4 |    547 |     550 | -      | -
  550 | program_tail | NTERM |          1 |    547 |      -1 | -      | -
  551 | NL     | TERM |         -1 |    550 |     552 | NL     | -
  552 | opt_stmt | NTERM |          3 |    550 |     608 | -      | -
  553 | stmt   | NTERM |          5 |    552 |      -1 | -      | -
  554 | bind_stmt | NTERM |         12 |    553 |      -1 | -      | -
  555 | BIND   | TERM |         -1 |    554 |     556 | bind   | -
  556 | id     | NTERM |        114 |    554 |     558 | -      | -
  557 | IDENTIFIER | TERM |         -1 |    556 |      -1 | out    | 5,0
  558 | ASSIGN | TERM |         -1 |    554 |     559 | :=     | -
  559 | expr   | NTERM |         28 |    554 |      -1 | -      | -
  560 | pipe_expr | NTERM |         29 |    559 |      -1 | -      | -
  561 | logic_or | NTERM |         48 |    560 |     579 | -      | -
  562 | logic_and | NTERM |         51 |    561 |     578 | -      | -
  563 | equality | NTERM |         54 |    562 |     577 | -      | -
  564 | relation | NTERM |         58 |    563 |     576 | -      | -
  565 | add    | NTERM |         64 |    564 |     575 | -      | -
  566 | mul    | NTERM |         68 |    565 |     574 | -      | -
  567 | unary  | NTERM |         75 |    566 |     573 | -      | -
  568 | power  | NTERM |         76 |    567 |      -1 | -      | -
  569 | primary | NTERM |         86 |    568 |     572 | -      | -
  570 | IDENTIFIER | TERM |         -1 |    569 |     571 | squares | 13,0
  571 | primary_after_ident | NTERM |        100 |    569 |      -1 | -      | -
  572 | power_tail | NTERM |         78 |    568 |      -1 | -      | -
  573 | mul_tail | NTERM |         72 |    566 |      -1 | -      | -
  574 | add_tail | NTERM |         67 |    565 |      -1 | -      | -
  575 | relation_tail | NTERM |         63 |    564 |      -1 | -      | -
  576 | equality_tail | NTERM |         57 |    563 |      -1 | -      | -
  577 | logic_and_tail | NTERM |         53 |    562 |      -1 | -      | -
  578 | logic_or_tail | NTERM |         50 |    561 |      -1 | -      | -
  579 | pipe_expr_tail | NTERM |         30 |    560 |      -1 | -      | -
  580 | PIPELINE | TERM |         -1 |    579 |     581 | |>     | -
  581 | stage  | NTERM |         33 |    579 |     607 | -      | -
  582 | stage_keyword | NTERM |         41 |    581 |      -1 | -      | -
  583 | JOINSTR | TERM |         -1 |    582 |     584 | joinstr | -
  584 | LPAREN | TERM |         -1 |    582 |     585 | (      | -
  585 | expr   | NTERM |         28 |    582 |     606 | -      | -
  586 | pipe_expr | NTERM |         29 |    585 |      -1 | -      | -
  587 | logic_or | NTERM |         48 |    586 |     605 | -      | -
  588 | logic_and | NTERM |         51 |    587 |     604 | -      | -
  589 | equality | NTERM |         54 |    588 |     603 | -      | -
  590 | relation | NTERM |         58 |    589 |     602 | -      | -
  591 | add    | NTERM |         64 |    590 |     601 | -      | -
  592 | mul    | NTERM |         68 |    591 |     600 | -      | -
  593 | unary  | NTERM |         75 |    592 |     599 | -      | -
  594 | power  | NTERM |         76 |    593 |      -1 | -      | -
  595 | primary | NTERM |         81 |    594 |     598 | -      | -
  596 | string | NTERM |        127 |    595 |      -1 | -      | -
  597 | STRING | TERM |         -1 |    596 |      -1 | ", "   | 15,1
  598 | power_tail | NTERM |         78 |    594 |      -1 | -      | -
  599 | mul_tail | NTERM |         72 |    592 |      -1 | -      | -
  600 | add_tail | NTERM |         67 |    591 |      -1 | -      | -
  601 | relation_tail | NTERM |         63 |    590 |      -1 | -      | -
  602 | equality_tail | NTERM |         57 |    589 |      -1 | -      | -
  603 | logic_and_tail | NTERM |         53 |    588 |      -1 | -      | -
  604 | logic_or_tail | NTERM |         50 |    587 |      -1 | -      | -
  605 | pipe_expr_tail | NTERM |         31 |    586 |      -1 | -      | -
  606 | RPAREN | TERM |         -1 |    582 |      -1 | )      | -
  607 | pipe_expr_tail | NTERM |         31 |    579 |      -1 | -      | -
  608 | program_tail | NTERM |          1 |    550 |      -1 | -      | -
  609 | NL     | TERM |         -1 |    608 |     610 | NL     | -
  610 | opt_stmt | NTERM |          4 |    608 |     611 | -      | -
  611 | program_tail | NTERM |          2 |    608 |      -1 | -      | -
